Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
20250217_trial-18_CL3-20_L	2025-05-09 10:03:52.828		1804.433	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	0.0	1818.533	30.000	20241225 CL3-20 Ak F	START		POINT	4.667	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	140	NA	
20250217_trial-18_CL3-20_L	2025-05-09 10:03:52.828		1804.433	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	0.0	1818.533	30.000	20241225 CL3-20 Ak F	Left cage	Position	START	15.633	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	469	NA	
20250217_trial-18_CL3-20_L	2025-05-09 10:03:52.828		1804.433	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	0.0	1818.533	30.000	20241225 CL3-20 Ak F	Sniffing	Response	POINT	44.233	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	1327	NA	
20250217_trial-18_CL3-20_L	2025-05-09 10:03:52.828		1804.433	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	0.0	1818.533	30.000	20241225 CL3-20 Ak F	Left cage	Position	STOP	53.100	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	1593	NA	
20250217_trial-18_CL3-20_L	2025-05-09 10:03:52.828		1804.433	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	0.0	1818.533	30.000	20241225 CL3-20 Ak F	Left cage	Position	START	53.900	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	1617	NA	
20250217_trial-18_CL3-20_L	2025-05-09 10:03:52.828		1804.433	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	0.0	1818.533	30.000	20241225 CL3-20 Ak F	Left cage	Position	STOP	54.667	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	1640	NA	
20250217_trial-18_CL3-20_L	2025-05-09 10:03:52.828		1804.433	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	0.0	1818.533	30.000	20241225 CL3-20 Ak F	Left cage	Position	START	54.833	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	1645	NA	
20250217_trial-18_CL3-20_L	2025-05-09 10:03:52.828		1804.433	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	0.0	1818.533	30.000	20241225 CL3-20 Ak F	Sniffing	Response	POINT	57.200	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	1716	NA	
20250217_trial-18_CL3-20_L	2025-05-09 10:03:52.828		1804.433	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	0.0	1818.533	30.000	20241225 CL3-20 Ak F	Sniffing	Response	POINT	64.133	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	1924	NA	
20250217_trial-18_CL3-20_L	2025-05-09 10:03:52.828		1804.433	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	0.0	1818.533	30.000	20241225 CL3-20 Ak F	Sniffing	Response	POINT	65.333	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	1960	NA	
20250217_trial-18_CL3-20_L	2025-05-09 10:03:52.828		1804.433	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	0.0	1818.533	30.000	20241225 CL3-20 Ak F	Foraging	Response	POINT	66.267	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	1988	NA	
20250217_trial-18_CL3-20_L	2025-05-09 10:03:52.828		1804.433	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	0.0	1818.533	30.000	20241225 CL3-20 Ak F	Sniffing	Response	POINT	79.533	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	2386	NA	
20250217_trial-18_CL3-20_L	2025-05-09 10:03:52.828		1804.433	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	0.0	1818.533	30.000	20241225 CL3-20 Ak F	Sniffing	Response	POINT	93.367	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	2801	NA	
20250217_trial-18_CL3-20_L	2025-05-09 10:03:52.828		1804.433	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	0.0	1818.533	30.000	20241225 CL3-20 Ak F	Sniffing	Response	POINT	94.333	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	2830	NA	
20250217_trial-18_CL3-20_L	2025-05-09 10:03:52.828		1804.433	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	0.0	1818.533	30.000	20241225 CL3-20 Ak F	Sniffing	Response	POINT	94.667	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	2840	NA	
20250217_trial-18_CL3-20_L	2025-05-09 10:03:52.828		1804.433	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	0.0	1818.533	30.000	20241225 CL3-20 Ak F	Sniffing	Response	POINT	95.533	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	2866	NA	
20250217_trial-18_CL3-20_L	2025-05-09 10:03:52.828		1804.433	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	0.0	1818.533	30.000	20241225 CL3-20 Ak F	Foraging	Response	POINT	101.200	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	3036	NA	
20250217_trial-18_CL3-20_L	2025-05-09 10:03:52.828		1804.433	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	0.0	1818.533	30.000	20241225 CL3-20 Ak F	Sniffing	Response	POINT	111.967	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	3359	NA	
20250217_trial-18_CL3-20_L	2025-05-09 10:03:52.828		1804.433	Media file(s)	player #1:C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	0.0	1818.533	30.000	20241225 CL3-20 Ak F	Sniffing	Response	POINT	168.333	C:/研究/鼠類對水鹿排遺反應/高田前測/實驗影片/20250217_trial-18_CL3-20/20250217_trial-18_CL3-20_L.mp4	5050	NA	
