Observation id	Observation date	Description	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
20241018_trial-4_59181_L	2025-01-16 11:27:39.720		Limited to coded events	Limited to coded events	Limited to coded events	59181	Left cage		52	808.502	15.548	30.308	18.958	39.025	44.700
20241018_trial-4_59181_L	2025-01-16 11:27:39.720		Limited to coded events	Limited to coded events	Limited to coded events	59181	Sniffing		49	NA	NA	NA	30.628	67.414	NA
20241018_trial-4_59181_L	2025-01-16 11:27:39.720		Limited to coded events	Limited to coded events	Limited to coded events	59181	Foraging		5	NA	NA	NA	284.958	206.143	NA
20241018_trial-4_59181_L	2025-01-16 11:27:39.720		Limited to coded events	Limited to coded events	Limited to coded events	59181	START		1	NA	NA	NA	NA	NA	NA
20241018_trial-4_59181_L	2025-01-16 11:27:39.720		Limited to coded events	Limited to coded events	Limited to coded events	59181	STOP		1	NA	NA	NA	NA	NA	NA
