Observation id	Observation date	Description	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
20241017_trial-6_59200_L	2025-01-20 09:29:56.756		Limited to coded events	Limited to coded events	Limited to coded events	59200	Left cage		63	433.370	6.879	10.421	20.590	34.954	24.000
20241017_trial-6_59200_L	2025-01-20 09:29:56.756		Limited to coded events	Limited to coded events	Limited to coded events	59200	Sniffing		41	NA	NA	NA	40.549	66.288	NA
20241017_trial-6_59200_L	2025-01-20 09:29:56.756		Limited to coded events	Limited to coded events	Limited to coded events	59200	Foraging		1	NA	NA	NA	NA	NA	NA
20241017_trial-6_59200_L	2025-01-20 09:29:56.756		Limited to coded events	Limited to coded events	Limited to coded events	59200	START		1	NA	NA	NA	NA	NA	NA
20241017_trial-6_59200_L	2025-01-20 09:29:56.756		Limited to coded events	Limited to coded events	Limited to coded events	59200	STOP		1	NA	NA	NA	NA	NA	NA
