Observation id	Observation date	Description	Time budget start	Time budget stop	Time budget duration	Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
20241017_trial-6_59200_R	2025-01-20 09:31:23.172		Limited to coded events	Limited to coded events	Limited to coded events	59200	Right cage		55	900.965	16.381	25.522	15.801	22.245	49.900
20241017_trial-6_59200_R	2025-01-20 09:31:23.172		Limited to coded events	Limited to coded events	Limited to coded events	59200	Sniffing		75	NA	NA	NA	22.274	44.944	NA
20241017_trial-6_59200_R	2025-01-20 09:31:23.172		Limited to coded events	Limited to coded events	Limited to coded events	59200	Foraging		5	NA	NA	NA	386.067	194.506	NA
20241017_trial-6_59200_R	2025-01-20 09:31:23.172		Limited to coded events	Limited to coded events	Limited to coded events	59200	START		1	NA	NA	NA	NA	NA	NA
20241017_trial-6_59200_R	2025-01-20 09:31:23.172		Limited to coded events	Limited to coded events	Limited to coded events	59200	STOP		1	NA	NA	NA	NA	NA	NA
